LAB ID,Customer ID,Accession ,Date,T,Corticosterone,E3,BE2,include_in_analysis
1,1,906695,2016-11-14,18.3,0.04,7.25,52.9,y
54,102,906695,2017-05-30,0.04,0.04,8.43,64.4,y
72,122,906695,2017-07-25,0.04,0.04,8.11,84.8,y
2,2,906700,2016-11-14,9.17,0.04,8.46,77.9,y
50,98,906700,2017-05-30,0.04,0.04,6.18,39.4,y
69,119,906700,2017-07-25,0.04,0.04,13.3,76.2,y
6,6,906711,2016-11-14,0.04,0.04,8.47,72.6,y
81,131,906711,2017-07-30,0.04,0.04,7.79,74.0,y
16,16,906712,2017-01-16,94.2,0.04,10.6,116,y
56,105,906712,2017-05-30,0.04,0.04,7.71,40.0,y
75,125,906712,2017-07-25,0.04,0.04,8.02,77.4,y
7,7,906736,2016-11-14,0.04,0.04,6.40,67.4,y
38,80,906736,2017-05-18,0.04,0.04,8.06,85.4,y
90,140,906736,2017-07-30,0.04,0.04,7.27,83.8,y
11,11,906738,2016-11-14,0.04,0.04,10.0,96.7,y
86,136,906738,2017-07-30,0.04,0.04,4.61,38.1,y
39,83,907006,2017-05-18,0.04,0.04,0.04,11.1,y
85,135,907006,2017-07-30,0.04,0.04,6.94,68.7,y
68,118,907009,2017-07-25,0.04,0.04,11.6,95.1,1
76B,76B,907009,2017-07-25,0.04,13.1,33.6,431,2
18,18,907011,2017-01-16,12.3,9.95,12.3,70.8,y
32,74,907011,2017-05-18,0.04,9.28,10.4,76.5,y
40,84,907011,2017-05-18,0.04,0.04,8.99,92.0,y
82,132,907011,2017-07-30,0.04,0.04,5.36,61.6,y
35,77,907024,2017-05-18,0.04,0.04,5.15,50.9,y
41,86,907024,2017-05-18,0.04,22.7,7.48,60.8,y
88,138,907024,2017-07-30,0.04,0.04,6.14,65.1,y
8,8,907034,2016-11-14,0.04,0.04,8.28,80.3,y
87,137,907034,2017-07-30,0.04,0.04,6.98,52.9,y
17,17,907037,2017-01-16,72.7,0.04,7.73,69.6,y
9,9,907046,2016-11-14,0.04,0.04,7.77,51.5,y
21,59,907046,2017-04-26,0.04,0.04,8.94,62.4,y
19,19,907051,2017-01-16,0.04,0.04,11.8,105,y
33,75,907051,2017-05-18,0.04,0.04,7.49,63.4,y
84,134,907051,2017-07-30,0.04,0.04,4.12,36.6,y
10,10,907057,2016-11-14,0.04,0.04,9.49,88.8,y
24,64,907057,2017-05-10,0.04,0.04,8.57,69.9,y
89,139,907057,2017-07-30,0.04,0.04,8.56,82.4,y
3,3,907077,2016-11-14,44.3,0.04,9.68,89.2,y
79,129,907077,2017-07-25,0.04,0.04,10.2,107,1
79B,79B,907077,2017-07-25,0.04,ND,32.0,401,2
12,12,907078,2016-11-14,22.7,13.9,11.2,87.4,y
42,88,907078,2017-05-30,0.04,0.04,7.50,62.2,y
74,124,907078,2017-07-25,0.04,0.04,7.73,65.8,y
13,13,907080,2016-11-14,0.04,0.04,7.30,44.8,y
46,94,907080,2017-05-30,0.04,0.04,5.72,33.9,y
59,108,907080,2017-07-25,0.04,0.04,10.3,74.3,y
34,76,907081,2017-05-18,0.04,0.04,7.24,61.6,y
80,130,907081,2017-07-30,0.04,0.04,9.03,95.1,1
80B,80B,907081,2017-07-30,0.04,ND,30.2,390,2
23,63,907092,2017-04-26,0.04,0.04,12.3,102,y
83,133,907092,2017-07-30,0.04,0.04,7.30,74.0,y
92,142,907190,2017-07-30,0.04,0.04,21.9,266,y
4,4,907213,2016-11-14,42.5,0.04,6.97,75.8,y
73,123,907213,2017-07-25,0.04,0.04,10.5,111,y
52,100,907330,2017-05-30,8.68,0.04,5.48,30.3,y
67,117,907330,2017-07-25,0.04,0.04,9.84,93.0,1
68B,68B,907330,2017-07-25,0.04,ND,27.2,356,2
57,106,907331,2017-05-30,53.1,0.04,11.2,63.0,y
71,121,907331,2017-07-25,0.04,0.04,10.8,104,y
14,14,907352,2016-11-14,0.04,0.04,0.10,0.10,y
48,96,907352,2017-05-30,0.04,0.04,7.65,36.7,y
60,109,907352,2017-07-25,0.04,0.04,5.10,47.0,y
5,5,907360,2016-11-14,0.04,0.04,8.89,75.5,y
51,99,907360,2017-05-30,73.2,0.04,0.10,0.10,y
66,116,907360,2017-07-25,0.04,0.04,9.71,85.8,1
67B,67B,907360,2017-07-25,0.04,ND,29.1,386,2
30,71,908136,2017-05-18,0.04,0.04,7.67,68.0,y
91,141,908136,2017-07-30,0.04,0.04,36.1,320,y
15,15,909243,2016-11-14,0.04,0.04,11.6,112,y
58,107,909243,2017-05-30,0.04,0.04,8.53,46.3,y
78,128,909243,2017-07-25,0.04,0.04,6.14,70.2,y
96,146,909243,2017-10-11,0.04,9.71,19.8,226,y
20,58,913347,2017-04-26,0.04,0.04,6.23,54.1,n
22,60,913350,2017-04-26,0.04,0.04,8.94,71.3,n
27,67,913350,2017-05-10,0.04,0.04,11.4,113,n
28,68,913351,2017-05-10,0.04,0.04,12.7,104,n
43,89,913381,2017-05-30,0.04,0.04,4.72,10.3,n
61,110,913381,2017-07-25,0.04,0.04,ND,ND,n
93,143,913381,2017-10-11,40.9,9.16,22.9,292,n
26,66,914009,2017-05-10,0.04,0.04,6.70,59.3,n
31,72,914483,2017-05-18,0.04,0.04,8.64,67.3,n
107,160,914483,2017-10-23,ND,13.0,23.6,300,n
45,93,914486,2017-05-30,0.04,0.04,5.24,14.0,n
101,151,914486,2017-10-11,46.8,8.35,32.4,424,n
55,103,914501,2017-05-30,0.04,0.04,7.33,56.4,n
76,126,914501,2017-07-25,0.04,0.04,6.70,62.0,n
95,145,914501,2017-10-11,0.04,0.04,0.10,0,n
77,127,914502,2017-07-25,0.04,0.04,6.02,54.7,n
98,148,914502,2017-10-11,0.04,0.04,0.10,0,n
44,92,914507,2017-05-30,0.04,0.04,7.64,27.8,n
65,115,914507,2017-07-25,0.04,0.04,12.0,44.8,n
100,150,914507,2017-10-11,60.7,8.33,15.4,192,n
36,78,914515,2017-05-18,0.04,0.04,5.83,49.5,n
106,158,914540,2017-10-23,ND,ND,20.8,273,n
29,69,914560,2017-05-18,0.04,0.04,9.70,98.8,n
37,79,914560,2017-05-18,0.04,0.04,0.10,0.10,n
47,95,914582,2017-05-30,0.04,0.04,9.81,26.8,n
70,120,914582,2017-07-25,0.04,0.04,12.0,42.5,n
97,147,914582,2017-10-11,11.9,8.65,26.0,317,n
53,101,915221,2017-05-30,0.04,0.04,6.16,18.6,n
62,111,915221,2017-07-25,0.04,0.04,10.8,64.5,n
94,144,915221,2017-10-11,45.2,11.2,19.1,244,n
49,97,915255,2017-05-30,10.5,0.04,9.65,37.0,n
63,112,915255,2017-07-25,0.04,0.04,11.9,80.7,n
64,113,915262,2017-07-25,0.04,0.04,8.90,81.4,n
99,149,915262,2017-10-11,20.6,ND,22.8,289,n
25,65,915318,2017-05-10,0.04,0.04,7.06,66.8,n
105,157,916017,2017-10-23,8.09,ND,25.3,326,n
102,152,#2,2017-10-21,ND,11.5,22.0,270,n
103,153,#3,2017-10-21,13.8,11.7,29.1,386,n
104,155,#4,2017-10-21,15.2,15.4,26.8,184,n
108,161,CC-2,2017-01-16,0.04,0.04,28.7,342,n
112,165,CC-3,2017-01-16,0.04,0.04,25.4,315,n
116,171,CC-5,2017-01-16,ND,ND,25.8,339,n
110,163,CC-6,2017-01-16,75.9,0.04,25.6,328,n
117,173,CC-7,2017-01-16,ND,17.7,28.1,370,n
115,170,CC-8,2017-01-16,39.8,12.1,26.0,333,n
123,179,SJ-02,2017-01-16,30.9,10.0,36.1,428,n
126,182,SJ-04,2017-01-16,10.9,ND,25.7,332,n
122,178,SJ-05,2017-01-16,53.5,ND,25.5,324,n
121,177,SJ-06,2017-01-16,47.3,ND,26.4,358,n
124,180,SJ-07,2017-01-16,83.3,8.52,36.9,491,n
127,183,SJ-08,2017-01-16,56.4,ND,28.7,443,n
125,181,SJ-09,2017-01-16,ND,9.17,29.7,147,n
109,162,SJ-13,2017-01-16,0.04,0.04,30.3,396,n
111,164,SJ-15,2017-01-16,9.50,14.4,27.5,328,n
118,174,SJ-16,2017-01-16,ND,ND,37.9,143,n
114,168,SJ-17,2017-01-16,8.23,ND,23.8,326,n
119,175,SJ-18,2017-01-16,18.7,ND,35.3,458,n
120,176,SJ-19,2017-01-16,ND,ND,31.8,391,n
113,166,SJ-20,2017-01-16,11.0,ND,36.2,221,n
