"","Accession","LAB.ID","Customer.ID","Date","T","Corticosterone","E3","BE2","include_in_analysis","sex","month","year","f.month"
"1","906695","1","1","2016-11-14",18.3,"0.04",7.25,52.9,"y","f",11,2016,"11"
"2","906695","54","102","2017-05-30",0.04,"0.04",8.43,64.4,"y","f",5,2017,"5"
"3","906695","72","122","2017-07-25",0.04,"0.04",8.11,84.8,"y","f",7,2017,"7"
"4","906700","2","2","2016-11-14",9.17,"0.04",8.46,77.9,"y","f",11,2016,"11"
"5","906700","50","98","2017-05-30",0.04,"0.04",6.18,39.4,"y","f",5,2017,"5"
"6","906700","69","119","2017-07-25",0.04,"0.04",13.3,76.2,"y","f",7,2017,"7"
"7","906711","6","6","2016-11-14",0.04,"0.04",8.47,72.6,"y","m",11,2016,"11"
"8","906711","81","131","2017-07-30",0.04,"0.04",7.79,74,"y","m",7,2017,"7"
"10","906712","56","105","2017-05-30",0.04,"0.04",7.71,40,"y","f",5,2017,"5"
"11","906712","75","125","2017-07-25",0.04,"0.04",8.02,77.4,"y","f",7,2017,"7"
"12","906736","7","7","2016-11-14",0.04,"0.04",6.4,67.4,"y","m",11,2016,"11"
"13","906736","38","80","2017-05-18",0.04,"0.04",8.06,85.4,"y","m",5,2017,"5"
"14","906736","90","140","2017-07-30",0.04,"0.04",7.27,83.8,"y","m",7,2017,"7"
"15","906738","11","11","2016-11-14",0.04,"0.04",10,96.7,"y","tpf",11,2016,"11"
"16","906738","86","136","2017-07-30",0.04,"0.04",4.61,38.1,"y","tpf",7,2017,"7"
"17","907006","39","83","2017-05-18",0.04,"0.04",0.04,11.1,"y","m",5,2017,"5"
"18","907006","85","135","2017-07-30",0.04,"0.04",6.94,68.7,"y","m",7,2017,"7"
"19","907009","76B","76B","2017-07-25",0.04,"13.1",33.6,431,"2","f",7,2017,"7"
"21","907011","32","74","2017-05-18",0.04,"9.28",10.4,76.5,"y","m",5,2017,"5"
"22","907011","40","84","2017-05-18",0.04,"0.04",8.99,92,"y","m",5,2017,"5"
"23","907011","82","132","2017-07-30",0.04,"0.04",5.36,61.6,"y","m",7,2017,"7"
"24","907024","35","77","2017-05-18",0.04,"0.04",5.15,50.9,"y","m",5,2017,"5"
"25","907024","41","86","2017-05-18",0.04,"22.7",7.48,60.8,"y","m",5,2017,"5"
"26","907024","88","138","2017-07-30",0.04,"0.04",6.14,65.1,"y","m",7,2017,"7"
"27","907034","8","8","2016-11-14",0.04,"0.04",8.28,80.3,"y","m",11,2016,"11"
"28","907034","87","137","2017-07-30",0.04,"0.04",6.98,52.9,"y","m",7,2017,"7"
"30","907046","9","9","2016-11-14",0.04,"0.04",7.77,51.5,"y","m",11,2016,"11"
"33","907051","33","75","2017-05-18",0.04,"0.04",7.49,63.4,"y","m",5,2017,"5"
